index,name,stage,teacher,outside_interval_fraction,input_std,input_absmax,local_relative_rmse,derivative_negative_fraction,derivative_absmax,embedding_cosine_mean,embedding_relative_rmse,pairwise_cosine_mae,embedding_norm_ratio_mean,downstream_probe,downstream_std_ratio,downstream_absmax_ratio
0,prelu,stem,PReLU,0.0,0.17558571315053625,2.945467948913574,1.297194943899481,0.0008544921875,1.3695478439331055,0.34581929445266724,0.9536606285156862,0.16475778818130493,0.5146408081054688,layer1.0.prelu,1.1666180522997567,1.0217052515396363
1,layer1.0.prelu,layer1,PReLU,0.0,0.4127785236644599,3.3810009956359863,0.5232064664957002,0.03607177734375,1.554716944694519,0.7687045931816101,0.6623025484961467,0.15602952241897583,0.6019993424415588,layer1.1.prelu,0.9845089925386069,0.981386426430863
2,layer1.1.prelu,layer1,PReLU,0.0,0.33365134701164395,1.813881278038025,0.8256362427056779,0.012451171875,1.049738883972168,0.7239302396774292,0.7384167740338499,0.18307280540466309,0.9878590106964111,layer1.2.prelu,1.3815701057087457,1.3738637787356975
3,layer1.2.prelu,layer1,PReLU,0.0,0.21939199075505397,1.8068729639053345,1.7045861408540082,0.00054931640625,0.729454517364502,0.5873520970344543,0.8273728408833878,0.05062096193432808,0.4212683439254761,layer2.0.prelu,1.562953007908979,1.4693659296631547
4,layer2.0.prelu,layer2,PReLU,0.0,0.20808863925698526,1.6067028045654297,1.873077204279529,0.0025634765625,0.8452146053314209,0.11250720173120499,1.1681792010353953,0.2431366741657257,0.7284969091415405,layer2.1.prelu,2.3234143973275794,1.850016166442812
5,layer2.1.prelu,layer2,PReLU,0.0,0.09288024472354334,0.6581181287765503,4.388481743537095,0.0,0.6883252263069153,0.011722194030880928,1.0835516825200167,0.1795031577348709,0.4289594292640686,layer2.2.prelu,8.360592185641163,5.6187623217933655
6,layer2.2.prelu,layer2,PReLU,0.0,0.09497005936042349,0.6264651417732239,5.6780843523302025,0.0,0.6789981126785278,-0.06534933298826218,1.334050796338013,0.19898256659507751,0.8230528831481934,layer2.3.prelu,13.5741783112205,13.706598842872106
7,layer2.3.prelu,layer2,PReLU,0.0,0.11663560717550467,0.623889148235321,3.253356445885254,0.0,0.6210230588912964,0.14636316895484924,1.0475654598711122,0.2044195681810379,0.49134114384651184,layer3.0.prelu,4.07480124203063,2.1001039488192816
8,layer3.0.prelu,layer3,PReLU,0.0,0.10049815596881043,1.1285732984542847,4.150422618147195,0.0,0.6087538599967957,0.01824374683201313,1.171559410959136,0.21572746336460114,0.6300676465034485,layer3.1.prelu,5.335276796483814,5.271190416994491
9,layer3.1.prelu,layer3,PReLU,0.0,0.05381399718579315,0.31034204363822937,7.91720642137025,0.0,0.5949887037277222,-0.049853455275297165,1.5019938772986572,0.24410203099250793,1.0755980014801025,layer3.2.prelu,10.788085867224689,8.773628912157067
10,layer3.2.prelu,layer3,PReLU,0.0,0.0715271965652917,0.5296670198440552,8.495377358412723,0.0,0.5695902109146118,-0.00025891527184285223,1.5615456406404984,0.23937773704528809,1.203153371810913,layer3.3.prelu,12.514685777265546,10.168029104504143
11,layer3.3.prelu,layer3,PReLU,0.0,0.0802516277637608,0.5884832739830017,7.540465307767971,0.0,0.6160541772842407,0.02511586807668209,1.6189847261852526,0.23595111072063446,1.3023518323898315,layer3.4.prelu,13.731080386105356,8.753741315749656
12,layer3.4.prelu,layer3,PReLU,0.0,0.0635250257026402,0.5901094675064087,8.264529252201381,0.0,0.5699440240859985,0.019723068922758102,1.3020062903468208,0.22795982658863068,0.8563634753227234,layer3.5.prelu,7.494951916501556,7.714814516190819
13,layer3.5.prelu,layer3,PReLU,0.0,0.04946553571258724,0.32674872875213623,8.06738265095732,0.0,0.5667781233787537,0.13687372207641602,1.119422283770513,0.13791270554065704,0.6605751514434814,layer3.6.prelu,4.283345705197454,4.507907370474396
14,layer3.6.prelu,layer3,PReLU,0.0,0.050546814519290086,0.4145822525024414,10.737724501869904,0.0,0.5263785719871521,0.29923707246780396,0.9996887542847733,0.17559371888637543,0.5992540121078491,layer3.7.prelu,2.4079397904794893,3.0779999914649694
15,layer3.7.prelu,layer3,PReLU,0.0,0.049427390687353384,0.34219297766685486,9.700872384336455,0.0,0.5601904392242432,0.02655697427690029,1.1443720575549303,0.20814962685108185,0.5856066346168518,layer3.8.prelu,2.697335939603121,2.523361188459878
